date,5-year,acquirer,ceo,acquisition,industry,cost,costBucket,costGroup,industrySort1,cost2
13 Aug 2007,2006--2010,Microsoft,Steve Ballmer,AdECN,Advertising,50,Less than $100 million,2Cost,11advertising,$50.0m
9 Jun 2011,2011--present,Google,Larry Page,Admeld,Advertising,400,$100 - $499 million,3Cost,11advertising,$400.0m
9 Nov 2009,2006--2010,Google,Eric Schmidt,AdMob,Advertising,750,$500 - $999 million,4Cost,11advertising,$750.0m
6 May 2014,2011--present,Google,Larry Page,Adometry,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
16 Feb 2007,2006--2010,Google,Eric Schmidt,Adscape,Advertising,23,Less than $100 million,2Cost,11advertising,$23.0m
1 Apr 2003,2001--2005,Google,Eric Schmidt,Applied Semantics,Advertising,102,$100 - $499 million,3Cost,11advertising,$102.0m
13 Aug 2007,2006--2010,Microsoft,Steve Ballmer,aQuantive,Advertising,6333,$1 - 10 billion,5Cost,11advertising,"$6,333.0m"
28 Feb 2013,2011--present,Facebook,Mark Zuckerberg,Atlas,Advertising,100,$100 - $499 million,3Cost,11advertising,$100.0m
8 Dec 2013,2011--present,Google,Larry Page,Autofuss,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
17 Jan 2006,2006--2010,Google,Eric Schmidt,dMarc Broadcasting,Advertising,102,$100 - $499 million,3Cost,11advertising,$102.0m
13 Apr 2007,2006--2010,Google,Eric Schmidt,DoubleClick,Advertising,3100,$1 - 10 billion,5Cost,11advertising,"$3,100.0m"
15 Apr 1998,1996-2000,Microsoft,Bill Gates,Firefly,Advertising,40,Less than $100 million,2Cost,11advertising,$40.0m
3 Jun 2010,2006--2010,Google,Eric Schmidt,Invite Media,Advertising,81,Less than $100 million,2Cost,11advertising,$81.0m
6 Nov 1998,1996-2000,Microsoft,Bill Gates,LinkExchange,Advertising,265,$100 - $499 million,3Cost,11advertising,$265.0m
14 Aug 2014,2011--present,Facebook,Mark Zuckerberg,LiveRail,Advertising,500,$500 - $999 million,4Cost,11advertising,$500.0m
19 Jun 2014,2011--present,Google,Larry Page,mDialog,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
18 Jun 2008,2006--2010,Microsoft,Steve Ballmer,Navic Networks,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
5 Jan 2010,2006--2010,Apple,Steve Jobs,Quattro Wireless,Advertising,275,$100 - $499 million,3Cost,11advertising,$275.0m
14 Mar 2008,2006--2010,Microsoft,Steve Ballmer,Rapt,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
24 Feb 2015,2011--present,Google,Larry Page,Red Hot Labs,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
25 Jan 2011,2011--present,Facebook,Mark Zuckerberg,Rel8tion,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
1 Oct 2003,2001--2005,Google,Eric Schmidt,Sprinks,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
23 Nov 2009,2006--2010,Google,Eric Schmidt,Teracent,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
24 Aug 2012,2011--present,Facebook,Mark Zuckerberg,Threadsy,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
24 Feb 2015,2011--present,Google,Larry Page,Toro,Advertising,1,Undisclosed,1Cost,11advertising,Undisclosed
